source,target,weight,connection_types,earliest_date,latest_date,era,evidence_summary
Jeffrey Epstein,Steve Bannon,95,"email;imessage;social",2018-02,2019-07,trump_presidency,"3356 iMessages, hundreds of emails, dinner meetings, political strategy"
Jeffrey Epstein,Ghislaine Maxwell,90,"email;social;operational",2005-10,2015-09,"pre_conviction;post_plea;rebuilding","Constant communication, property, Terramar Project"
Jeffrey Epstein,Lesley Groff,90,"email;operational",2005-10,2019-07,all,"Executive assistant, forwarded hundreds of messages"
Jeffrey Epstein,Ehud Barak,85,"email;social;business",2015-08,2019-01,"rebuilding;trump_presidency","Frequent scheduling, Carbyne investment, Chomsky dinners"
Jeffrey Epstein,Darren Indyke,85,"email;legal;business",2005-10,2019-07,all,"Attorney, VI LLCs, property, Compass Point"
Jeffrey Epstein,Richard Kahn,80,"email;business",2005-10,2019-07,all,"Daily news sharing, financial matters, property"
Jeffrey Epstein,Larry Summers,78,"email;imessage;social;intellectual;flight_logs",2013-02,2019-07,"post_plea;rebuilding;trump_presidency","783 emails + 72 iMessages + FLIGHT: Treasure Cay→PBI Feb 2013 with Woody Allen. HOUSE_OVERSIGHT_006294"
Jeffrey Epstein,Reid Weingarten,70,"email;legal;social",2017-07,2019-07,trump_presidency,"Legal counsel, Trump/Mueller discussions, social dinners"
Jeffrey Epstein,Kathy Ruemmler,70,"email;legal;social",2015-08,2019-05,"rebuilding;trump_presidency","Legal advice, Trump commentary, Susan Rice case"
Jeffrey Epstein,Emad Hanna,70,"email;operational",2005-10,2008-05,"pre_conviction;post_plea","Estate management, LSJ island operations"
Jeffrey Epstein,Larry Visoski,65,"email;operational",2005-10,2018-03,all,"Pilot, flight coordination, POTUS restrictions"
Jeffrey Epstein,Michael Wolff,65,"email;imessage;social;media",2017-07,2019-05,trump_presidency,"24 iMessages, Fire and Fury, Bannon introductions"
Jeffrey Epstein,Lawrence Krauss,65,"email;academic;social",2015-09,2018-04,"rebuilding;trump_presidency","BuzzFeed defense, Heidelberg conference, Chomsky"
Jeffrey Epstein,Melanie Walker,60,"imessage;social",2018-01,2019-02,trump_presidency,"532 iMessages, Gates Foundation connection"
Jeffrey Epstein,Mark Epstein,60,"email;family",2005-10,2018-10,all,"Brother, personal exchanges, Putin/Trump joke (4480 stars)"
Jeffrey Epstein,Sultan Bin Sulayem,55,"email;business;social",2015-08,2018-08,"rebuilding;trump_presidency","Carbyne/Barak investment, donations, Dubai business"
Jeffrey Epstein,John Amerling,55,"email;operational",2006-07,2007-07,pre_conviction,"Island operations, boats, Puerto Rico"
Jeffrey Epstein,Alan Dershowitz,50,"email;legal;social",2011-03,2018-04,"post_plea;trump_presidency","Legal counsel, Maxwell defense, Trump lawyer rumors"
Jeffrey Epstein,Jean-Luc Brunel,50,"email;social",2006-06,2008-03,pre_conviction,"Model agency, MC2 modeling, travel"
Jeffrey Epstein,Robert Trivers,50,"email;academic",2018-02,2018-06,trump_presidency,"Biology discussions, David Haig introduction"
Jeffrey Epstein,Nicholas Ribis,45,"email;business;social",2017-07,2018-10,trump_presidency,"Trump/Stormy Daniels, Manafort, golf sightings"
Jeffrey Epstein,Landon Thomas Jr.,45,"email;media",2017-08,2018-09,trump_presidency,"NYT journalist, Barrack profile, Apple analysis"
Jeffrey Epstein,Cecilia Steen,45,"email;social",2005-10,2019-07,all,"Swedish contact, numbered reports, Bell 430"
Jeffrey Epstein,Joi Ito,45,"email;imessage;financial",2017-11,2019-05,trump_presidency,"21 iMessages, $25K ASU funding, #metoo"
Jeffrey Epstein,Noam Chomsky,40,"email;social",2015-09,2018-10,rebuilding,"Introduced via Krauss, dinner with Barak"
Jeffrey Epstein,Nadia Marcinkova,40,"email;social",2006-06,2014-12,"pre_conviction;post_plea","Multiple emails, model contacts"
Jeffrey Epstein,Al Seckel,40,"email;social",2010-12,2011-03,post_plea,"PR/reputation management, search monitoring"
Jeffrey Epstein,Ken Starr,40,"email;legal;social",2018-05,2018-08,trump_presidency,"Rubenfeld discussion, Wolff introduction"
Jeffrey Epstein,Anthony Scaramucci,40,"imessage;political",2018-01,2018-08,trump_presidency,"107 iMessages, political advice"
Jeffrey Epstein,Miroslav Lajcak,35,"imessage;international",2018-01,2018-11,trump_presidency,"103 iMessages, diplomatic exchanges"
Jeffrey Epstein,Sarah Kellen,35,"email;operational",2006-12,2008-05,pre_conviction,"Helicopter, Ferrari, logistics"
Jeffrey Epstein,Peter Mandelson,35,"email;international",2008-01,2011-03,post_plea,"UK politician correspondence"
Jeffrey Epstein,Jonathan Farkas,30,"email;business",2018-03,2019-04,trump_presidency,"Mar-a-Lago reports, Trump meetings"
Jeffrey Epstein,Celina Dubin,30,"imessage;social",2018-01,2019-03,trump_presidency,"78 iMessages"
Jeffrey Epstein,Soon-Yi Previn,30,"imessage;social",2018-01,2018-03,trump_presidency,"71 iMessages"
Jeffrey Epstein,Anil Ambani,30,"imessage;business",2018-01,2018-01,trump_presidency,"62 iMessages"
Jeffrey Epstein,Karyna Shuliak,30,"social",2018-01,2019-07,trump_presidency,"Girlfriend"
Jeffrey Epstein,Jack Lang,30,"email;international",2018-09,2018-09,trump_presidency,"French institution placement attempt"
Jeffrey Epstein,Peter Attia,30,"email;social",2015-08,2016-11,rebuilding,"Clinton/Trump article sharing"
Jeffrey Epstein,Deepak Chopra,25,"email;social",2017-09,2018-06,trump_presidency,"Trump guru article, Psychology Today"
Jeffrey Epstein,Martin Weinberg,25,"email;legal",2018-08,2018-08,trump_presidency,"Viceland investigation"
Jeffrey Epstein,Brad Karp,25,"email;legal",2017-12,2018-10,trump_presidency,"Paul Weiss chairman, 'whoopsie'"
